metric,value,task,file
task_stay_cue_switch_accuracy,0.7083333333333334,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
task_switch_cue_switch_accuracy,0.5463917525773195,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
task_switch_cue_stay_accuracy,0.4583333333333333,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
na_accuracy,0.75,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
task_stay_cue_switch_omission_rate,0.0,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
task_switch_cue_switch_omission_rate,0.0,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
task_switch_cue_stay_omission_rate,0.0,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
na_omission_rate,0.0,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
task_stay_cue_switch_rt,796.3409090909091,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
task_switch_cue_switch_rt,785.4216867469879,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
task_switch_cue_stay_rt,782.55,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
na_rt,849.5,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
color_accuracy,0.5510204081632653,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
form_accuracy,0.5858585858585859,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
proportion_feedback,0.8,spatialTS,sub-SK_task-spatialTS_run-1.json.parquet
